b,alpha,status
7.33807653795,1.01787720426,escaped
7.34749577911,1.01515576783,escaped
7.35691502026,1.01245035783,escaped
7.36633426141,1.00976082126,escaped
7.37575350256,1.00708700734,escaped
7.38517274372,1.00442876735,escaped
7.39459198487,1.00178595457,escaped
7.40401122602,0.999158424028,escaped
7.41343046717,0.996546032708,escaped
7.42284970832,0.99394863968,escaped
7.43226894948,0.991366105871,escaped
7.44168819063,0.988798293689,escaped
7.45110743178,0.98624506756,escaped
7.46052667293,0.983706293843,escaped
7.46994591409,0.981181840384,escaped
7.47936515524,0.97867157661,escaped
7.48878439639,0.976175374032,escaped
7.49820363754,0.97369310556,escaped
7.5076228787,0.971224645513,escaped
7.51704211985,0.968769870318,escaped
7.526461361,0.966328657519,escaped
7.53588060215,0.963900886272,escaped
7.54529984331,0.961486437625,escaped
7.55471908446,0.959085193457,escaped
7.56413832561,0.956697037713,escaped
7.57355756676,0.954321855524,escaped
7.58297680792,0.951959533272,escaped
7.59239604907,0.949609959241,escaped
7.60181529022,0.947273022368,escaped
7.61123453137,0.944948613731,escaped
7.62065377253,0.942636624989,escaped
7.63007301368,0.940336949753,escaped
7.63949225483,0.938049482417,escaped
7.64891149598,0.935774119005,escaped
7.65833073714,0.933510756555,escaped
7.66774997829,0.931259293469,escaped
7.67716921944,0.929019629276,escaped
7.68658846059,0.926791664774,escaped
7.69600770175,0.924575301809,escaped
7.7054269429,0.922370443593,escaped
7.71484618405,0.920176994144,escaped
7.7242654252,0.917994859067,escaped
7.73368466636,0.915823944464,escaped
7.74310390751,0.913664158247,escaped
7.75252314866,0.911515408607,escaped
7.76194238981,0.909377605564,escaped
7.77136163097,0.90725065954,escaped
7.78078087212,0.905134482324,escaped
7.79020011327,0.903028986745,escaped
7.79961935442,0.900934086215,escaped
7.80903859558,0.898849695791,escaped
7.81845783673,0.896775730838,escaped
7.82787707788,0.894712108011,escaped
7.83729631903,0.892658745011,escaped
7.84671556019,0.890615559978,escaped
7.85613480134,0.888582472553,escaped
7.86555404249,0.886559402935,escaped
7.87497328364,0.884546272038,escaped
7.8843925248,0.88254300218,escaped
7.89381176595,0.88054951611,escaped
7.9032310071,0.878565737348,escaped
7.91265024825,0.876591590723,escaped
7.92206948941,0.874627001516,escaped
7.93148873056,0.872671895708,escaped
7.94090797171,0.870726200472,escaped
7.95032721286,0.868789843598,escaped
7.95974645402,0.866862753453,escaped
7.96916569517,0.864944859318,escaped
7.97858493632,0.86303609147,escaped
7.98800417747,0.861136380583,escaped
7.99742341863,0.859245658064,escaped
8.00684265978,0.85736385627,escaped
8.01626190093,0.85549090828,escaped
8.02568114208,0.853626747659,escaped
8.03510038323,0.851771308678,escaped
8.04451962439,0.849924526457,escaped
8.05393886554,0.848086336848,escaped
8.06335810669,0.846256676164,escaped
8.07277734784,0.844435481386,escaped
8.082196589,0.842622690172,escaped
8.09161583015,0.840818241017,escaped
8.1010350713,0.839022072888,escaped
8.11045431245,0.837234125324,escaped
8.11987355361,0.83545433849,escaped
8.12929279476,0.833682653168,escaped
8.13871203591,0.831919010882,escaped
8.14813127706,0.830163353666,escaped
8.15755051822,0.828415624073,escaped
8.16696975937,0.826675765239,escaped
8.17638900052,0.824943720873,escaped
8.18580824167,0.823219435251,escaped
8.19522748283,0.821502853288,escaped
8.20464672398,0.819793920418,escaped
8.21406596513,0.818092582554,escaped
8.22348520628,0.816398786147,escaped
8.23290444744,0.814712478178,escaped
8.24232368859,0.813033606148,escaped
8.25174292974,0.811362118075,escaped
8.26116217089,0.809697962489,escaped
8.27058141205,0.80804108847,escaped
8.2800006532,0.806391445554,escaped
8.28941989435,0.804748983746,escaped
8.2988391355,0.803113653533,escaped
8.30825837666,0.801485405879,escaped
8.31767761781,0.799864192218,escaped
8.32709685896,0.798249964452,escaped
8.33651610011,0.796642674938,escaped
8.34593534127,0.79504227649,escaped
8.35535458242,0.793448722365,escaped
8.36477382357,0.791861966267,escaped
8.37419306472,0.790281962332,escaped
8.38361230588,0.788708665131,escaped
8.39303154703,0.787142029667,escaped
8.40245078818,0.785582011354,escaped
8.41187002933,0.784028566019,escaped
8.42128927049,0.782481649898,escaped
8.43070851164,0.780941219633,escaped
8.44012775279,0.779407232268,escaped
8.44954699394,0.77787964524,escaped
8.4589662351,0.77635841638,escaped
8.46838547625,0.774843503904,escaped
8.4778047174,0.77333486641,escaped
8.48722395855,0.771832462872,escaped
8.49664319971,0.77033625264,escaped
8.50606244086,0.768846195428,escaped
8.51548168201,0.767362251317,escaped
8.52490092316,0.765884380748,escaped
8.53432016432,0.764412544518,escaped
8.54373940547,0.762946703772,escaped
8.55315864662,0.761486820008,escaped
8.56257788777,0.760032855063,escaped
8.57199712893,0.758584771116,escaped
8.58141637008,0.757142530681,escaped
8.59083561123,0.755706096605,escaped
8.60025485238,0.75427543206,escaped
8.60967409354,0.752850500532,escaped
8.61909333469,0.751431265837,escaped
8.62851257584,0.750017692108,escaped
8.63793181699,0.748609743792,escaped
8.64735105814,0.747207385648,escaped
8.6567702993,0.745810582739,escaped
8.66618954045,0.744419300434,escaped
8.6756087816,0.7430335044,escaped
8.68502802275,0.741653160602,escaped
8.69444726391,0.740278235299,escaped
8.70386650506,0.73890869504,escaped
8.71328574621,0.737544506662,escaped
8.72270498736,0.736185637287,escaped
8.73212422852,0.7348320543,escaped
8.74154346967,0.733483725334,escaped
8.75096271082,0.732140618334,escaped
8.76038195197,0.730802701523,escaped
8.76980119313,0.729469943392,escaped
8.77922043428,0.728142312699,escaped
8.78863967543,0.726819778465,escaped
8.79805891658,0.725502309976,escaped
8.80747815774,0.724189876772,escaped
8.81689739889,0.722882448617,escaped
8.82631664004,0.721579995483,escaped
8.83573588119,0.720282487661,escaped
8.84515512235,0.718989895693,escaped
8.8545743635,0.717702190366,escaped
8.86399360465,0.716419342711,escaped
8.8734128458,0.715141323999,escaped
8.88283208696,0.713868105709,escaped
8.89225132811,0.71259965947,escaped
8.90167056926,0.711335957237,escaped
8.91108981041,0.710076971213,escaped
8.92050905157,0.708822673826,escaped
8.92992829272,0.707573037734,escaped
8.93934753387,0.7063280358,escaped
8.94876677502,0.705087640981,escaped
8.95818601618,0.703851826552,escaped
8.96760525733,0.702620566044,escaped
8.97702449848,0.701393833204,escaped
8.98644373963,0.700171601993,escaped
8.99586298079,0.698953846505,escaped
9.00528222194,0.69774054096,escaped
9.01470146309,0.696531659931,escaped
9.02412070424,0.695327178202,escaped
9.0335399454,0.694127070762,escaped
9.04295918655,0.692931312739,escaped
9.0523784277,0.691739879317,escaped
9.06179766885,0.690552746057,escaped
9.07121691001,0.689369888734,escaped
9.08063615116,0.688191283314,escaped
9.09005539231,0.687016905833,escaped
9.09947463346,0.685846732444,escaped
9.10889387462,0.684680739674,escaped
9.11831311577,0.68351890424,escaped
9.12773235692,0.682361203016,escaped
9.13715159807,0.681207612823,escaped
9.14657083923,0.680058110852,escaped
9.15599008038,0.678912674541,escaped
9.16540932153,0.677771281502,escaped
9.17482856268,0.67663390929,escaped
9.18424780384,0.675500535712,escaped
9.19366704499,0.674371138902,escaped
9.20308628614,0.673245697163,escaped
9.21250552729,0.672124188734,escaped
9.22192476845,0.671006592059,escaped
9.2313440096,0.669892885939,escaped
9.24076325075,0.668783049338,escaped
9.2501824919,0.667677061097,escaped
9.25960173305,0.666574900336,escaped
9.26902097421,0.6654765465,escaped
9.27844021536,0.664381979162,escaped
9.28785945651,0.66329117772,escaped
9.29727869766,0.662204121994,escaped
9.30669793882,0.661120792054,escaped
9.31611717997,0.660041167977,escaped
9.32553642112,0.658965229772,escaped
9.33495566227,0.657892957942,escaped
9.34437490343,0.656824333146,escaped
9.35379414458,0.655759335822,escaped
9.36321338573,0.654697946763,escaped
9.37263262688,0.653640147078,escaped
9.38205186804,0.652585917823,escaped
9.39147110919,0.651535240001,escaped
9.40089035034,0.650488095131,escaped
